pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---h	4081	30	17	7	0	0	3	3	0	6	4	0	63
h---pt interaction	164957	15350	61	0	0	0	0	0	0	0	0	0	0
h---w	3870	123	10	2	0	0	0	0	0	0	0	0	1
pt interaction---h	119087	1005	23	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	24358	34534	27166	25722	20476	7311	1435	1022	1052	935	678	645	27126
pt interaction---w	37389	4559	19	0	0	0	0	0	0	0	0	0	0
w---h	3865	153	8	6	0	1	0	0	1	1	0	0	15
w---pt interaction	39368	2403	151	0	0	0	0	0	0	0	0	0	0
w---w	803	41	8	0	0	0	0	0	0	0	0	0	1

average trip duration: 984.3543507820793 seconds = 00:16:24
