Stop Name,Stop ID,# entering,# leaving,# passengers
Chiminangos A2,CHIMI3,261,0,261
Flora Industrial A1,FLORAI1,313,1,573
Salomia A1,SALOM1,186,3,756
Popular A1,POPU1,5,5,756
Torre de Cali A2,TORRE3,72,72,756
San Bosco A2,SANBO3,30,231,555
Estadio A2,ESTAD3,73,78,550
Tequendama A1,TEQUE1,70,130,490
Unidad Deportiva A2,UDP3,32,52,470
Pampalinda A1,PAMPA1,39,112,397
Capri A2,CAPRI3,22,59,360
Melendez A1,MELEN1,17,80,297
Buitrera A1,BUITRE1,13,108,202
Universidades A1,UNIV1,0,202,0
