Stop Name,Stop ID,# entering,# leaving,# passengers
Universidades B2,UNIV4,277,0,277
Univalle B1,UNIVAL2,89,12,354
Buitrera B1,BUITRE2,139,17,476
Melendez B1,MELEN2,89,27,538
Capri B1,CAPRI2,58,33,563
Caldas B1,CALDAS2,90,50,603
Refugio B1,REFUG2,145,44,704
Pampalinda B1,PAMPA2,107,60,751
Plaza de Toros B1,PLATOR2,61,28,784
Unidad Deportiva B2,UDP4,96,64,816
Lido B2,LIDO4,102,80,838
Tequendama B2,TEQUE4,158,72,924
Estadio B1,ESTAD2,92,87,929
Manzana del Saber B1,MANZA2,151,146,934
Santa Librada B1,SNTLIB2,151,165,920
San Bosco B1,SANBO2,448,45,1323
San Pascual B1,SANPAS2,33,136,1220
Sucre B1,SUCRE2,24,10,1234
Petecuy B1,PTCUY2,145,124,1255
San Pedro B1,SANPED2,528,554,1229
Torre de Cali B1,TORRE2,98,535,792
San Nicolas B1,SANIC2,15,17,790
Piloto B1,PILOT2,20,11,799
Fatima B1,FATI2,8,87,720
Manzanares B1,MZAN2,14,53,681
Popular B2,POPU4,6,35,652
Salomia B1,SALOM2,10,71,591
Flora Industrial B1,FLORAI2,5,242,354
Chiminangos B1,CHIMI2,0,354,0
