LinkId,FromNode,ToNode,Length,Vol
1-2,1,2,444.0,332
1-39,1,39,914.0,85
1-UNIVAL1,1,UNIVAL1,19.0,104
1-UNIVAL2,1,UNIVAL2,19.0,332
10-11,10,11,959.0,1797
10-40,10,40,977.0,943
10-9,10,9,539.0,920
10-TEQUE1,10,TEQUE1,19.0,1863
10-TEQUE4,10,TEQUE4,19.0,1823
11-10,11,10,959.0,2086
11-12,11,12,426.0,756
11-14,11,14,1695.0,673
11-15,11,15,2234.0,434
11-ESTAD2,11,ESTAD2,19.0,1863
11-ESTAD3,11,ESTAD3,19.0,2086
12-11,12,11,428.0,1048
12-13,12,13,680.0,777
12-MANZA2,12,MANZA2,19.0,777
12-MANZA3,12,MANZA3,19.0,1048
13-12,13,12,680.0,1067
13-14,13,14,593.0,750
13-SNTLIB2,13,SNTLIB2,19.0,750
13-SNTLIB3,13,SNTLIB3,19.0,1067
14-11,14,11,1701.0,1030
14-13,14,13,597.0,985
14-15,14,15,539.0,1756
14-SANBO2,14,SANBO2,19.0,1756
14-SANBO3,14,SANBO3,19.0,2015
15-23,15,23,300.0,987
15-24,15,24,677.0,705
15-26,15,26,1840.0,428
15-SANPAS2,15,SANPAS2,19.0,2168
2-1,2,1,426.0,170
2-3,2,3,585.0,1189
2-39,2,39,1321.0,104
2-BUITRE1,2,BUITRE1,19.0,274
2-BUITRE2,2,BUITRE2,19.0,1189
23-24,23,24,592.0,938
23-SUCRE2,23,SUCRE2,19.0,938
24-25,24,25,638.0,972
24-26,24,26,901.0,668
24-PTCUY2,24,PTCUY2,19.0,972
24-PTCUY6,24,PTCUY6,19.0,668
25-26,25,26,264.0,957
25-SANPED2,25,SANPED2,19.0,957
26-14,26,14,2065.0,630
26-29,26,29,368.0,914
26-31,26,31,587.0,533
26-35,26,35,2681.0,318
26-42,26,42,513.0,798
26-43,26,43,583.0,802
26-TORRE2,26,TORRE2,19.0,851
26-TORRE3,26,TORRE3,19.0,2342
26-TORRE4,26,TORRE4,19.0,802
27-14,27,14,600.0,1125
27-FRAY1,27,FRAY1,19.0,1125
28-27,28,27,522.0,1120
28-CENTRO1,28,CENTRO1,19.0,1120
29-28,29,28,577.0,1075
29-ERMI1,29,ERMI1,19.0,1075
3-2,3,2,617.0,590
3-4,3,4,1181.0,1369
3-MELEN1,3,MELEN1,19.0,590
3-MELEN2,3,MELEN2,19.0,1369
30-26,30,26,753.0,594
30-RIOC1,30,RIOC1,19.0,594
31-32,31,32,394.0,529
31-SANIC2,31,SANIC2,19.0,529
32-33,32,33,653.0,508
32-PILOT2,32,PILOT2,19.0,508
33-30,33,30,1061.0,595
33-34,33,34,578.0,455
33-FATI1,33,FATI1,19.0,595
33-FATI2,33,FATI2,19.0,455
34-33,34,33,573.0,529
34-35,34,35,470.0,415
34-MZAN1,34,MZAN1,19.0,529
34-MZAN2,34,MZAN2,19.0,415
35-26,35,26,2855.0,693
35-34,35,34,470.0,480
35-36,35,36,637.0,649
35-POPU1,35,POPU1,19.0,1173
35-POPU4,35,POPU4,19.0,688
36-35,36,35,643.0,1176
36-37,36,37,699.0,528
36-SALOM1,36,SALOM1,19.0,1176
36-SALOM2,36,SALOM2,19.0,528
37-36,37,36,703.0,927
37-38,37,38,574.0,133
37-FLORAI1,37,FLORAI1,19.0,927
37-FLORAI2,37,FLORAI2,19.0,133
38-37,38,37,636.0,541
38-CHIMI2,38,CHIMI2,19.0,-501
38-CHIMI3,38,CHIMI3,19.0,541
39-1,39,1,932.0,263
39-2,39,2,1375.0,601
39-UNIV1,39,UNIV1,19.0,-774
39-UNIV4,39,UNIV4,19.0,864
4-3,4,3,1205.0,914
4-5,4,5,681.0,1146
4-7,4,7,1801.0,261
4-CAPRI2,4,CAPRI2,19.0,1477
4-CAPRI3,4,CAPRI3,19.0,927
40-10,40,10,997.0,1062
40-7,40,7,1271.0,844
40-8,40,8,688.0,836
40-9,40,9,418.0,675
40-UDP3,40,UDP3,19.0,1719
40-UDP4,40,UDP4,19.0,1013
40-UDP6,40,UDP6,19.0,724
42-14,42,14,1716.0,872
42-CAICED1,42,CAICED1,19.0,872
43-26,43,26,587.0,831
43-44,43,44,331.0,620
43-VERSALL1,43,VERSALL1,19.0,831
43-VERSALL2,43,VERSALL2,19.0,620
44-43,44,43,331.0,769
44-45,44,45,1406.0,356
44-L.AMERI1,44,L.AMERI1,19.0,769
44-L.AMERI2,44,L.AMERI2,19.0,356
45-44,45,44,1352.0,470
45-46,45,46,552.0,266
45-PRADNOR1,45,PRADNOR1,19.0,470
45-PRADNOR2,45,PRADNOR2,19.0,266
46-45,46,45,551.0,379
46-47,46,47,774.0,161
46-VIPASA1,46,VIPASA1,19.0,379
46-VIPASA2,46,VIPASA2,19.0,161
47-46,47,46,774.0,312
47-56,47,56,1024.0,-26
47-ALAMOS1,47,ALAMOS1,19.0,312
47-ALAMOS2,47,ALAMOS2,19.0,-26
5-4,5,4,724.0,892
5-6,5,6,549.0,548
5-7,5,7,1783.0,677
5-CALDAS1,5,CALDAS1,19.0,892
5-CALDAS2,5,CALDAS2,19.0,1225
56-47,56,47,881.0,132
56-TMENGA5,56,TMENGA5,19.0,-199
56-TMENGA7,56,TMENGA7,19.0,132
6-5,6,5,484.0,585
6-7,6,7,553.0,624
6-REFUG1,6,REFUG1,19.0,585
6-REFUG2,6,REFUG2,19.0,624
7-4,7,4,1724.0,228
7-40,7,40,1292.0,1062
7-5,7,5,1037.0,461
7-6,7,6,553.0,753
7-8,7,8,661.0,672
7-PAMPA1,7,PAMPA1,19.0,1442
7-PAMPA2,7,PAMPA2,19.0,1734
8-40,8,40,625.0,661
8-7,8,7,660.0,804
8-PLATOR1,8,PLATOR1,19.0,804
8-PLATOR2,8,PLATOR2,19.0,661
9-10,9,10,536.0,711
9-40,9,40,448.0,898
9-LIDO1,9,LIDO1,19.0,898
9-LIDO4,9,LIDO4,19.0,711
ALAMOS1-47,ALAMOS1,47,19.0,312
ALAMOS2-47,ALAMOS2,47,19.0,-26
BUITRE1-2,BUITRE1,2,19.0,274
BUITRE2-2,BUITRE2,2,19.0,1189
CAICED1-42,CAICED1,42,19.0,872
CALDAS1-5,CALDAS1,5,19.0,892
CALDAS2-5,CALDAS2,5,19.0,1225
CAPRI2-4,CAPRI2,4,19.0,1477
CAPRI3-4,CAPRI3,4,19.0,927
CENTRO1-28,CENTRO1,28,19.0,1120
CHIMI3-38,CHIMI3,38,19.0,541
ERMI1-29,ERMI1,29,19.0,1075
ESTAD2-11,ESTAD2,11,19.0,1863
ESTAD3-11,ESTAD3,11,19.0,2086
FATI1-33,FATI1,33,19.0,595
FATI2-33,FATI2,33,19.0,455
FLORAI1-37,FLORAI1,37,19.0,927
FLORAI2-37,FLORAI2,37,19.0,133
FRAY1-27,FRAY1,27,19.0,1125
L.AMERI1-44,L.AMERI1,44,19.0,769
L.AMERI2-44,L.AMERI2,44,19.0,356
LIDO1-9,LIDO1,9,19.0,898
LIDO4-9,LIDO4,9,19.0,711
MANZA2-12,MANZA2,12,19.0,777
MANZA3-12,MANZA3,12,19.0,1048
MELEN1-3,MELEN1,3,19.0,590
MELEN2-3,MELEN2,3,19.0,1369
MZAN1-34,MZAN1,34,19.0,529
MZAN2-34,MZAN2,34,19.0,415
