LinkId,FromNode,ToNode,Length,Vol
1-2,1,2,444.0,482
1-39,1,39,914.0,133
1-UNIVAL1,1,UNIVAL1,19.0,133
1-UNIVAL2,1,UNIVAL2,19.0,482
10-11,10,11,959.0,3202
10-40,10,40,977.0,2397
10-9,10,9,539.0,1208
10-TEQUE1,10,TEQUE1,19.0,3605
10-TEQUE4,10,TEQUE4,19.0,3202
11-10,11,10,959.0,3741
11-12,11,12,426.0,957
11-14,11,14,1695.0,943
11-15,11,15,2234.0,1311
11-ESTAD2,11,ESTAD2,19.0,3211
11-ESTAD3,11,ESTAD3,19.0,3741
12-11,12,11,428.0,1286
12-13,12,13,680.0,970
12-MANZA2,12,MANZA2,19.0,1000
12-MANZA3,12,MANZA3,19.0,1345
13-12,13,12,680.0,1371
13-14,13,14,593.0,864
13-SNTLIB2,13,SNTLIB2,19.0,864
13-SNTLIB3,13,SNTLIB3,19.0,1371
14-11,14,11,1701.0,2542
14-13,14,13,597.0,1353
14-15,14,15,539.0,2260
14-SANBO2,14,SANBO2,19.0,2260
14-SANBO3,14,SANBO3,19.0,3895
15-23,15,23,300.0,1172
15-24,15,24,677.0,941
15-26,15,26,1840.0,1253
15-SANPAS2,15,SANPAS2,19.0,3366
2-1,2,1,426.0,213
2-3,2,3,585.0,2173
2-39,2,39,1321.0,457
2-BUITRE1,2,BUITRE1,19.0,677
2-BUITRE2,2,BUITRE2,19.0,2173
23-24,23,24,592.0,1194
23-SUCRE2,23,SUCRE2,19.0,1194
24-25,24,25,638.0,1255
24-26,24,26,901.0,983
24-PTCUY2,24,PTCUY2,19.0,1255
24-PTCUY6,24,PTCUY6,19.0,983
25-26,25,26,264.0,1255
25-SANPED2,25,SANPED2,19.0,1255
26-14,26,14,2065.0,1289
26-29,26,29,368.0,840
26-31,26,31,587.0,831
26-35,26,35,2681.0,1125
26-42,26,42,513.0,1458
26-43,26,43,583.0,1042
26-TORRE2,26,TORRE2,19.0,2019
26-TORRE3,26,TORRE3,19.0,3587
26-TORRE4,26,TORRE4,19.0,1042
27-14,27,14,600.0,1454
27-FRAY1,27,FRAY1,19.0,1454
28-27,28,27,522.0,1446
28-CENTRO1,28,CENTRO1,19.0,1446
29-28,29,28,577.0,1202
29-ERMI1,29,ERMI1,19.0,1202
3-2,3,2,617.0,959
3-4,3,4,1181.0,2225
3-MELEN1,3,MELEN1,19.0,959
3-MELEN2,3,MELEN2,19.0,2249
30-26,30,26,753.0,508
30-RIOC1,30,RIOC1,19.0,508
31-32,31,32,394.0,858
31-SANIC2,31,SANIC2,19.0,858
32-33,32,33,653.0,842
32-PILOT2,32,PILOT2,19.0,842
33-30,33,30,1061.0,483
33-34,33,34,578.0,785
33-FATI1,33,FATI1,19.0,483
33-FATI2,33,FATI2,19.0,785
34-33,34,33,573.0,362
34-35,34,35,470.0,729
34-MZAN1,34,MZAN1,19.0,362
34-MZAN2,34,MZAN2,19.0,729
35-26,35,26,2855.0,989
35-34,35,34,470.0,261
35-36,35,36,637.0,1505
35-POPU1,35,POPU1,19.0,1271
35-POPU4,35,POPU4,19.0,1606
36-35,36,35,643.0,947
36-37,36,37,699.0,1209
36-SALOM1,36,SALOM1,19.0,953
36-SALOM2,36,SALOM2,19.0,1209
37-36,37,36,703.0,746
37-38,37,38,574.0,560
37-FLORAI1,37,FLORAI1,19.0,746
37-FLORAI2,37,FLORAI2,19.0,632
38-37,38,37,636.0,517
38-CHIMI2,38,CHIMI2,19.0,-629
38-CHIMI3,38,CHIMI3,19.0,517
39-1,39,1,932.0,289
39-2,39,2,1375.0,1134
39-UNIV1,39,UNIV1,19.0,-821
39-UNIV4,39,UNIV4,19.0,1434
4-3,4,3,1205.0,1907
4-5,4,5,681.0,1558
4-7,4,7,1801.0,789
4-CAPRI2,4,CAPRI2,19.0,2347
4-CAPRI3,4,CAPRI3,19.0,1907
40-10,40,10,997.0,1916
40-7,40,7,1271.0,2175
40-8,40,8,688.0,1096
40-9,40,9,418.0,846
40-UDP3,40,UDP3,19.0,3309
40-UDP4,40,UDP4,19.0,1845
40-UDP6,40,UDP6,19.0,995
42-14,42,14,1716.0,1674
42-CAICED1,42,CAICED1,19.0,1737
43-26,43,26,587.0,1500
43-44,43,44,331.0,935
43-VERSALL1,43,VERSALL1,19.0,1500
43-VERSALL2,43,VERSALL2,19.0,935
44-43,44,43,331.0,1262
44-45,44,45,1406.0,667
44-L.AMERI1,44,L.AMERI1,19.0,1262
44-L.AMERI2,44,L.AMERI2,19.0,667
45-44,45,44,1352.0,850
45-46,45,46,552.0,518
45-PRADNOR1,45,PRADNOR1,19.0,850
45-PRADNOR2,45,PRADNOR2,19.0,518
46-45,46,45,551.0,686
46-47,46,47,774.0,347
46-VIPASA1,46,VIPASA1,19.0,686
46-VIPASA2,46,VIPASA2,19.0,347
47-46,47,46,774.0,579
47-56,47,56,1024.0,-19
47-ALAMOS1,47,ALAMOS1,19.0,579
47-ALAMOS2,47,ALAMOS2,19.0,-19
5-4,5,4,724.0,1469
5-6,5,6,549.0,621
5-7,5,7,1783.0,913
5-CALDAS1,5,CALDAS1,19.0,1469
5-CALDAS2,5,CALDAS2,19.0,1554
56-47,56,47,881.0,314
56-TMENGA5,56,TMENGA5,19.0,-319
