Stop Name,Stop ID,# entering,# leaving,# passengers,# passthrough
Terminal Menga B3,TMENGA7,399,0,399,0
Alamos A1,ALAMOS1,392,2,789,397
Vipasa A1,VIPASA1,154,6,937,783
Prados del Norte A1,PRADNOR1,160,8,1089,929
Las Americas A1,L.AMERI1,198,40,1247,1049
Versalles A1,VERSALL1,47,44,1250,1203
Torre de Cali A2,TORRE3,242,116,1376,1134
Plaza de Caicedo A1,CAICED1,31,266,1141,1110
San Bosco A2,SANBO3,114,282,973,859
Estadio A2,ESTAD3,61,193,841,780
Tequendama A1,TEQUE1,77,191,727,650
Unidad Deportiva A2,UDP3,41,54,714,673
Pampalinda A1,PAMPA1,39,122,631,592
Caldas A1,CALDAS1,79,63,647,568
Capri A2,CAPRI3,45,91,601,556
Melendez A1,MELEN1,89,65,625,536
Buitrera A1,BUITRE1,15,229,411,396
Universidades A1,UNIV1,0,411,0,0
