LinkId,FromNode,ToNode,Length,Vol
CAPRI2-4,CAPRI2,4,19.0,3019
CAPRI3-4,CAPRI3,4,19.0,1397
CENTRO1-28,CENTRO1,28,19.0,815
CHIMI3-38,CHIMI3,38,19.0,2051
ERMI1-29,ERMI1,29,19.0,973
ESTAD2-11,ESTAD2,11,19.0,2855
ESTAD3-11,ESTAD3,11,19.0,2370
FATI1-33,FATI1,33,19.0,1007
FATI2-33,FATI2,33,19.0,166
FLORAI1-37,FLORAI1,37,19.0,2318
FLORAI2-37,FLORAI2,37,19.0,38
FRAY1-27,FRAY1,27,19.0,790
L.AMERI1-44,L.AMERI1,44,19.0,1176
L.AMERI2-44,L.AMERI2,44,19.0,405
LIDO1-9,LIDO1,9,19.0,639
LIDO4-9,LIDO4,9,19.0,1055
MANZA2-12,MANZA2,12,19.0,957
MANZA3-12,MANZA3,12,19.0,823
MELEN1-3,MELEN1,3,19.0,1357
MELEN2-3,MELEN2,3,19.0,2662
MZAN1-34,MZAN1,34,19.0,968
MZAN2-34,MZAN2,34,19.0,80
PAMPA1-7,PAMPA1,7,19.0,1434
PAMPA2-7,PAMPA2,7,19.0,3633
PILOT2-32,PILOT2,32,19.0,257
PLATOR1-8,PLATOR1,8,19.0,577
PLATOR2-8,PLATOR2,8,19.0,1074
POPU1-35,POPU1,35,19.0,2396
POPU4-35,POPU4,35,19.0,287
PRADNOR1-45,PRADNOR1,45,19.0,1051
PRADNOR2-45,PRADNOR2,45,19.0,274
PTCUY2-24,PTCUY2,24,19.0,965
PTCUY6-24,PTCUY6,24,19.0,1082
REFUG1-6,REFUG1,6,19.0,545
REFUG2-6,REFUG2,6,19.0,1061
RIOC1-30,RIOC1,30,19.0,926
SALOM1-36,SALOM1,36,19.0,2417
SALOM2-36,SALOM2,36,19.0,162
SANBO2-14,SANBO2,14,19.0,2319
SANBO3-14,SANBO3,14,19.0,2747
SANIC2-31,SANIC2,31,19.0,296
SANPAS2-15,SANPAS2,15,19.0,2954
SANPED2-25,SANPED2,25,19.0,395
SNTLIB2-13,SNTLIB2,13,19.0,874
SNTLIB3-13,SNTLIB3,13,19.0,877
SUCRE2-23,SUCRE2,23,19.0,982
TEQUE1-10,TEQUE1,10,19.0,1955
TEQUE4-10,TEQUE4,10,19.0,3289
TMENGA7-56,TMENGA7,56,19.0,399
TORRE2-26,TORRE2,26,19.0,656
TORRE3-26,TORRE3,26,19.0,3637
TORRE4-26,TORRE4,26,19.0,934
UDP3-40,UDP3,40,19.0,1763
UDP4-40,UDP4,40,19.0,1914
UDP6-40,UDP6,40,19.0,1709
UNIV4-39,UNIV4,39,19.0,1423
UNIVAL1-1,UNIVAL1,1,19.0,230
UNIVAL2-1,UNIVAL2,1,19.0,333
VERSALL1-43,VERSALL1,43,19.0,1179
VERSALL2-43,VERSALL2,43,19.0,748
VIPASA1-46,VIPASA1,46,19.0,914
VIPASA2-46,VIPASA2,46,19.0,185
