Stop Name,Stop ID,# entering,# leaving,# passengers
Universidades B2,UNIV4,420,0,420
Buitrera B1,BUITRE2,135,34,521
Melendez B1,MELEN2,130,26,625
Capri B1,CAPRI2,83,24,684
Caldas B1,CALDAS2,87,29,742
Pampalinda B1,PAMPA2,108,60,790
Unidad Deportiva B3,UDP6,41,30,801
Tequendama B2,TEQUE4,117,133,785
Estadio B1,ESTAD2,101,118,768
San Bosco B1,SANBO2,134,89,813
San Pascual B1,SANPAS2,97,53,857
Petecuy B3,PTCUY6,75,77,855
Torre de Cali B2,TORRE4,259,165,949
Versalles B1,VERSALL2,17,159,807
Las Americas B1,L.AMERI2,23,292,538
Prados del Norte B1,PRADNOR2,7,98,447
Vipasa B1,VIPASA2,7,102,352
Alamos B1,ALAMOS2,1,194,159
Terminal Menga B1,TMENGA5,0,159,0
