Stop Name,Stop ID,# entering,# leaving,# passengers
Terminal Menga B3,TMENGA7,132,0,132
Alamos A1,ALAMOS1,180,0,312
Vipasa A1,VIPASA1,99,3,408
Prados del Norte A1,PRADNOR1,91,4,495
Las Americas A1,L.AMERI1,319,24,790
Versalles A1,VERSALL1,125,23,892
Torre de Cali A2,TORRE3,166,155,903
Plaza de Caicedo A1,CAICED1,213,159,957
San Bosco A2,SANBO3,49,251,755
Estadio A2,ESTAD3,119,86,788
Tequendama A1,TEQUE1,95,140,743
Unidad Deportiva A2,UDP3,52,75,720
Pampalinda A1,PAMPA1,50,96,674
Caldas A1,CALDAS1,30,86,618
Capri A2,CAPRI3,21,71,568
Melendez A1,MELEN1,17,108,477
Buitrera A1,BUITRE1,14,158,333
Universidades A1,UNIV1,0,333,0
