Stop Name,Stop ID,# entering,# leaving,# passengers
Universidades B2,UNIV4,476,0,476
Buitrera B1,BUITRE2,241,18,699
Melendez B1,MELEN2,97,56,740
Capri B1,CAPRI2,115,17,838
Pampalinda B1,PAMPA2,221,66,993
Unidad Deportiva B2,UDP4,186,105,1074
Tequendama B2,TEQUE4,319,75,1318
Estadio B1,ESTAD2,270,110,1478
San Pascual B1,SANPAS2,115,18,1575
Torre de Cali B1,TORRE2,198,198,1575
Popular B2,POPU4,13,163,1425
Salomia B1,SALOM2,8,193,1240
Flora Industrial B1,FLORAI2,5,407,838
Chiminangos B1,CHIMI2,0,838,0
