Stop Name,Stop ID,# entering,# leaving,# passengers,# passthrough
Universidades B2,UNIV4,692,0,692,0
Buitrera B1,BUITRE2,115,31,776,661
Melendez B1,MELEN2,557,49,1284,727
Capri B1,CAPRI2,229,34,1479,1250
Caldas B1,CALDAS2,313,46,1746,1433
Pampalinda B1,PAMPA2,142,103,1785,1643
Unidad Deportiva B3,UDP6,52,37,1800,1748
Tequendama B2,TEQUE4,93,296,1597,1504
Estadio B1,ESTAD2,77,323,1351,1274
San Bosco B1,SANBO2,169,188,1332,1163
San Pascual B1,SANPAS2,175,95,1412,1237
Petecuy B3,PTCUY6,30,136,1306,1276
Torre de Cali B2,TORRE4,128,273,1161,1033
Versalles B1,VERSALL2,11,197,975,964
Las Americas B1,L.AMERI2,18,409,584,566
Prados del Norte B1,PRADNOR2,3,124,463,460
Vipasa B1,VIPASA2,5,98,370,365
Alamos B1,ALAMOS2,0,195,175,175
Terminal Menga B1,TMENGA5,0,175,0,0
