pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---h	4081	30	26	12	1	3	7	8	1	18	1	0	301
h---pt interaction	164747	15261	72	0	0	0	0	0	0	0	0	0	0
h---w	3870	124	11	2	1	0	0	1	0	1	0	0	3
pt interaction---h	120594	1030	22	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	25038	34677	27312	26487	20785	6990	1300	1073	1018	1020	1054	1164	26271
pt interaction---w	37425	4591	19	0	0	0	0	0	0	0	0	0	0
w---h	3885	155	10	6	1	2	2	0	3	4	1	1	67
w---pt interaction	39346	2400	158	0	0	0	0	0	0	0	0	0	0
w---w	799	41	8	0	0	0	0	0	0	0	0	0	1

average trip duration: 1011.7063916475681 seconds = 00:16:51
